Izvođač,Pjesma,Godina,Video ID
Leo Martin,Odiseja,1973,Ii3Dia2EkJc
Zdravko Čolić,Pjevam danju pjevam noću,1978,s6N-AKG_S6c
Generacija 5,Ti samo budi dovoljno daleko,1979,NrNCjfXT-ts
Oliver Mandić,Pomagajte drugovi,1984,G9u8Ju1y9HA
Denis & Denis,Program tvog kompjutera,1984,dLK1wrrNug4
Video Sex,Detektivska priča,1984,YuOekH3AiXY
Marina Perazić,Kolačići,1987,khsl-DCa-U0
Boris Novković,Dok svira radio,1988,v9nRUKTb_lc
Dino Merlin,Jel' sarajevo gdje je nekad bilo,1991,qemJGesoNTU
Magazin,Ti si želja mog života,1986,cLykK3vbA9Q
Novi Fosili,Ja sam za ples,1987,tTlx5OLeCVs
Dino Dvornik,Ti si mi u mislima,1989,n11O81IxXvg
Anica Dobra,Svečane bele košulje,1990,OLUYDFIVafE
Bajaga,Plavi safir,1988,1axeilHOq3s
Psihomodo Pop,Frida,1988,oZGBZ3SpkvI
Prljavo Kazalište,Marina,1988,-LZ96QXhB9M
Emina Jahović,Da l' ona zna,2002,05oFP8J2-HA
Vlado Georgiev,Zbogom ljubavi,2001,kypke00p9LI
Toše Proeski,The Hardest Thing,2008,gz7bggW9Mmw
Zdravko Čolić,Ao nono bijela,2003,2lPVEXGi7fQ
Saša Matić,Kad ljubav zakasni,2002,guaOIhMMZSI
Jelena Tomašević,Oro,2008,2dBKFWlHJIg
Beogradski Sindikat,Balada disidenta,2012,X1U_jyp6x-0
S.A.R.S.,Perspektiva,2011,QxmlBw9kHDw
Elemental,Goli i bosi,2015,lAKuemLMEXc
Dubioza Kolektiv,No Escape (from Balkan),2014,ToOn68NFYmw
Severina,Uno momento,2014,xmof9rseuxw
Petar Grašo,Ako te pitaju,2017,RbxDCVkcLhg
Saša Kovačević,Slučajno,2013,xHbMM9UoLkw
MC Yankoo feat Milica Todorović,Moje zlato,2014,m1swrhfSr4Q
Lexington Band,Dobro da nije veće zlo,2012,UYzrTbpiyv4
Tropico Band,Misliću na tebe,2011,sESRsE89HnM
Coby,Leto je,2019,KoIGI59sk1Q
Voyage & Breskvica,Vrati me,2019,_NMuA5kQ-NQ
Nucci,Bebo,2020,G-AlidWNLgk
Devito,Marina,2020,r1wYgrL8us8
Aleksandra Prijović,Bogata sirotinja,2019,lanKBt-0ECw
Zera,Baraba,2022,h2VE_EYxsLQ
Dino Merlin,Mi,2020,juPe7ADppkA
Grše,Sip,2023,ejxFQd_VsmQ
Miach feat. Grše,Led,2023,-UAjlaF3peY
Parni Valjak,Sve još miriše na nju,1993,yUz2Pc0gnnQ
Hladno Pivo,Ezoterija,2011,ZWEJbeFbxTQ
Van Gogh,Neko te ima noćas,1991,K2bZU17nkgk
Halid Bešlić,Miljacka,2007,tnd-fuuJmhU
Aerodrom,Fratello,1984,Uwzwuezx3rw
U škripcu,Siđi do reke,1983,Aj5WUL8ytjQ
Poslednja Igra Leptira,Dečko ajde ohladi,1985,aJuUDE4uf7M
Xenia,Troje,1983,iMzrS1dx1t8
Fit,Mačka,1988,yLxSSI_iGX4
Denis & Denis,Soba 23,1985,sRV6tzQh6jM
Jakarta,Pozovi me,1984,bIryOKos5As
Laki Pingvini,Šizika,1983,3OJqvGNJ6tI
Piloti,Kao ptica na mom dlanu,1987,JRH9XeYfPxM
Slađana Milošević,Miki Miki,1978,Jb-m45KiqdE
